Name,Team,Position,Rating
Aaron Civale,MIL,P,0.6
Aaron Judge,NYY,H,8.5
Aaron Nola,PHI,P,3.4
Adam Frazier,PIT,H,0.3
Adley Rutschman,BAL,H,5.5
Adolis Garcia,TEX,H,2.9
AJ Smith-Shawver,ATL,P,1.7
Alan Roden,TOR,H,2.3
Alec Bohm,PHI,H,3
Alec Burleson,STL,H,2.2
Alejandro Kirk,TOR,H,3.6
Alex Bregman,BOS,H,3.4
Andre Pallante,STL,P,1.1
Andres Gimenez,TOR,H,5
Andrew Benintendi,CHW,H,1.3
Andrew Heaney,PIT,P,1
Andrew Vaughn,CHW,H,0.9
Andy Pages,LAD,H,2.5
Anthony Santander,TOR,H,2.9
Anthony Volpe,NYY,H,3.9
Antonio Senzetela,COL,P,1.3
Austin Gomber,COL,P,1
Austin Riley,ATL,H,4.4
Austin Wells,NYY,H,2.9
Bailey Falter,PIT,P,1.6
Bailey Ober,MIN,P,1.9
Ben Brown,CHC,P,1.4
Ben Lively,CLE,P,1.1
Ben Rice,NYY,H,0.9
Blake Snell,LAD,P,2.9
Bo Bichette,TOR,H,3.6
Bo Naylor,CLE,H,2.4
Bobby Witt,KCR,H,6
Bowden Francis,TOR,P,0.6
Brady Singer,CIN,P,2.2
Brandon Lowe,TBR,H,3.1
Brandon Marsh,PHI,H,2.4
Brandon Nimmo,NYM,H,3.6
Brandon Pfaadt,ARI,P,2.7
Brayan Rocchio,CLE,H,1.8
Brendan Donovan,STL,H,2.7
Brendan Rodgers,HOU,H,1.3
Brenton Doyle,COL,H,2.7
Brett Baty,NYM,H,2
Brett Rooker,ATH,H,4
Brice Turang,MIL,H,2.6
Brooks Baldwin,CHW,H,1.2
Bryan De La Cruz,ATL,H,0.1
Bryan Reynolds,PIT,H,2.2
Bryan Woo,SEA,P,2.1
Bryce Elder,ATL,P,0.6
Bryce Harper,PHI,H,3.8
Bryce Miller,SEA,P,2
Bryson Stott,PHI,H,3.4
Byron Buxton,MIN,H,2.7
Cade Povich,BAL,P,0.5
Cal Quantrill,MIA,P,0.3
Cal Raleigh,SEA,H,4.9
Cam Smith,HOU,H,0.4
Carlos Carrasco,NYY,P,0.1
Carlos Correa,MIN,H,3.2
Carlos Rodon,NYY,P,2.4
Carlos Santana,CLE,H,0.9
Carmen Mlodzinski,PIT,P,0.8
Carson Spiers,CIN,P,0.1
Casey Mize,DET,P,1.1
Ceddanne Rafaela,BOS,H,2.1
Cedric Mullins,BAL,H,3.1
Chad Patrick,MIL,P,1.3
Charlie Morton,BAL,P,1.2
Chris Bassitt,TOR,P,2.1
Chris Paddack,MIN,P,0.3
Chris Sale,ATL,P,3.5
Christian Encarnacion-Strand,CIN,H,1.6
Christian Walker,HOU,H,2.5
Christian Yelich,MIL,H,2.1
Christopher Sanchez,PHI,P,2.6
CJ Abrams,WAS,H,2.9
Clay Holmes,NYM,P,2.2
Cody Bellinger,NYY,H,3.3
Cole Ragans,KCR,P,3
Colt Keith,DET,H,2.4
Connor Gillespie,MIA,P,0.4
Connor Wong,BOS,H,0.7
Corbin Burnes,ARI,P,4.1
Corbin Carroll,ARI,H,4.8
Corey Seager,TEX,H,5
Danny Jansen,TBR,H,2
Dansby Swanson,CHC,H,4.2
David Peterson,NYM,P,1.2
Davis Martin,CHW,P,1.2
Dean Kremer,BAL,P,1.5
Derek Hill,MIA,H,1.7
Drake Baldwin,ATL,H,1.7
Drew Rasmusson,TBR,P,1.8
Dustin May,LAD,P,0.6
Dylan Cease,SDP,P,3.3
Dylan Crews,WAS,H,2.1
Easton Lucas,TOR,P,0.4
Eduardo Rodriguez,ARI,P,1.3
Edward Cabrera,MIA,P,1
Elias Diaz,SDP,H,0.1
Elly De La Cruz,CIN,H,5
Elvin Rodriguez,MIL,P,0.2
Endy Rodriguez,PIT,H,1.7
Erick Fedde,STL,P,1.7
Eugenio Suarez,ARI,H,3.2
Ezequiel Tovar,COL,H,3.4
Fernando Tatis Jr,SDP,H,5.2
Framber Valdez,HOU,P,2.6
Francisco Lindor,NYM,H,5.3
Freddie Freeman,LAD,H,4.2
Freddy Peralta,MIL,P,2.3
Gabriel Arias,CLE,H,2.1
Gabriel Moreno,ARI,H,3.9
Garrett Crochet,BOS,P,4.2
Garrett Mitchell,MIL,H,1.7
Gavin Lux,CIN,H,1.6
Gavin Sheets,SDP,H,0.4
Gavin Williams,CLE,P,1.8
George Kirby,SEA,P,3.3
George Springer,TOR,H,2.7
Geraldo Perdomo,ARI,H,2.3
German Marquez,COL,P,1.8
Gio Urshela,ATH,H,1.4
Graham Pauley,MIA,H,0.7
Grant Holmes,ATL,P,1
Griffin Canning,NYM,P,0.6
Griffin Conine,MIA,H,1.1
Harrison Bader,MIN,H,2.4
Hayden Wesneski,HOU,P,1
Heliot Ramos,SFG,H,2.6
Heston Kjerstad,BAL,H,2.2
Hunter Brown,HOU,P,2.4
Hunter Goodman,COL,H,1.3
Hunter Greene,CIN,P,3.5
Hunter Renfroe,KCR,H,0.3
Ian Happ,CHC,H,3.3
Isaac Paredes,HOU,H,4.2
Isiah Kiner-Falefa,PIT,H,1.5
Ivan Herrera,STL,H,2.3
Jack Flaherty,DET,P,1.9
Jack Kochanowicz,LAA,P,0.7
Jack Leiter,TEX,P,1.3
Jack Suwinski,PIT,H,1.5
Jackson Chourio,MIL,H,2.7
Jackson Holliday,BAL,H,3.3
Jackson Jobe,DET,P,-0.1
Jackson Merrill,SDP,H,4.5
Jacob Amaya,CHW,H,0.8
Jacob deGrom,TEX,P,1.7
Jacob Wilson,ATH,H,2.1
Jacob Young,WAS,H,1.2
Jake Burger,TEX,H,2.1
Jake Cronenworth,SDP,H,2.6
Jake Fraley,CIN,H,0.6
Jake Irvin,WAS,P,0.8
Jake Mangum,TBR,H,2.5
Jake McCarthy,ARI,H,1.2
Jake Meyers,HOU,H,2.5
Jake Rogers,DET,H,2.1
James Wood,WAS,H,3.1
Jameson Taillon,CHC,P,0.8
Jarred Kelenic,ATL,H,1.2
Jarren Durran,BOS,H,3.9
Jason Heyward,SDP,H,0.1
Jasson Dominguez,NYY,H,2.1
Javier Baez,DET,H,1.1
Jazz Chisholm,NYY,H,4
Jeffrey Springs,ATH,P,1.5
Jeimer Candelario,CIN,H,1.8
Jeremy Pena,HOU,H,3.3
Jesse Winker,NYM,H,1.1
Jesus Luzardo,PHI,P,1.5
JJ Bleday,ATH,H,2.4
Jo Adell,LAA,H,1.3
Joc Pederson,TEX,H,1.8
Joe Ryan,MIN,P,2.9
Joey Bart,PIT,H,1.2
Joey Estes,ATH,P,-0.1
Joey Ortiz,MIL,H,1.8
Jonah Bride,MIA,H,2.1
Jonah Heim,TEX,H,2.6
Jonathan Aranda,TBR,H,2.5
Jonathan Cannon,CHW,P,1.3
Jonathan India,KCR,H,2.8
Jonny DeLuca,TBR,H,1.7
Jordan Beck,COL,H,0.2
Jordan Hicks,SFG,P,0.9
Jordan Walker,STL,H,1
Jordan Westburg,BAL,H,4.4
Jorge Soler,LAA,H,1
Jose Altuve,HOU,H,3.4
Jose Berrios,TOR,P,1.5
Jose Miranda,MIN,H,1.4
Jose Ramirez,CLE,H,5
Jose Siri,NYM,H,2.1
Jose Soriano,LAA,P,1.4
Jose Trevino,CIN,H,1.5
Josh Bell,WAS,H,0.4
Josh Naylor,ARI,H,2.5
Josh Smith,TEX,H,2.7
JP Crawford,SEA,H,2.6
JP Sears,ATH,P,1.2
JT Realmuto,PHI,H,2.6
Juan Soto,NYM,H,6.5
Julio Rodriguez,SEA,H,6
Jung Hoo Lee,SFG,H,2
Junior Caminero,TBR,H,1.9
Justin Steele,CHC,P,2
Justin Verlander,SFG,P,1.4
Justyn-Henry Malloy,DET,H,1.3
Kameron Misner,TBR,H,2.4
KeBryan Hayes,PIT,H,1.6
Keibert Ruiz,WAS,H,2.1
Kerry Carpenter,DET,H,1.4
Ketel Marte,ARI,H,4.1
Kevin Gausman,TOR,P,2.4
Kevin Newman,LAA,H,0.4
Kodai Senga,NYM,P,2.5
Kris Bryant,COL,H,-0.7
Kris Bubic,KCR,P,1.4
Kristian Campbell,BOS,H,2.8
Kumar Rocker,TEX,P,0.5
Kyle Farmer,COL,H,0.4
Kyle Freeland,COL,P,1.6
Kyle Hart,SDP,P,0.6
Kyle Hendricks,LAA,P,0.7
Kyle Isbel,KCR,H,1.5
Kyle Manzardo,CLE,H,3
Kyle Schwarber,PHI,H,2.7
Kyle Stowers,MIA,H,1.4
Kyle Tucker,CHC,H,3.8
LaMonte Wade,SFG,H,0.5
Landen Roupp,SFG,P,1.8
Lane Thomas,CLE,H,2.2
Lars Nootbar,STL,H,3.6
Lawrence Butler,ATH,H,2.3
Lenyn Sosa,CHW,H,1.3
Leody Taveras,TEX,H,2.4
Logan Allen,CLE,P,1
Logan Gilbert,SEA,P,4
Logan OHoppe,LAA,H,2.2
Logan Webb,SFG,P,4.4
Lourdes Gurriel,ARI,H,1.6
Luis Arraez,SDP,H,1.3
Luis Castillo,SEA,P,2.5
Luis Garcia,WAS,H,1.8
Luis L Ortiz,CLE,P,1.2
Luis Rengifo,LAA,H,1.7
Luis Robert,CHW,H,2.7
Luis Severino,ATH,P,1.3
Luis Torrens,NYM,H,1.4
Luke Raley,SEA,H,2
MacKenzie Gore,WAS,P,2.8
Maikel Garcia,KCR,H,3.2
Manny Machado,SDP,H,4.2
Marcell Ozuna,ATL,H,2.2
Marcus Semien,TEX,H,3.5
Marcus Stroman,NYY,P,1.3
Mark Vientos,NYM,H,2.7
Martin Perez,CHW,P,1.6
Masyn Winn,STL,H,2.7
Matt Chapman,SFG,H,4.4
Matt McClain,CIN,H,3.8
Matt Mervis,MIA,H,0.6
Matt Olson,ATL,H,2.9
Matt Shaw,CHC,H,1.8
Matt Thaiss,CHW,H,0.9
Matt Wallner,MIN,H,3.1
Matthew Boyd,CHC,P,1.2
Matthew Liberatore,STL,P,1.3
Max Fried,NYY,P,3
Max Kepler,PHI,H,2.2
Max Meyer,MIA,P,1.1
Max Muncy,LAD,H,2.2
Maxx Muncy,ATH,H,1.5
Merrill Kelly,ARI,P,1.1
Michael Busch,CHC,H,2.4
Michael Conforto,LAD,H,1.3
Michael Harris,ATL,H,3.9
Michael King,SDP,P,3.2
Michael Lorenzen,KCR,P,0.6
Michael Massey,KCR,H,1.9
Michael Soroka,WAS,P,0.6
Michael Toglia,COL,H,0
Michael Wacha,KCR,P,1.7
Miguel Amaya,CHC,H,1.7
Miguel Andujar,ATH,H,1.4
Miguel Vargas,CHW,H,1.4
Mike Trout,LAA,H,2.6
Mike Yastrzemski,SFG,H,1.8
Miles Mastrobuoni,SEA,H,1.1
Miles Mikolas,STL,P,1.3
Mitch Keller,PIT,P,2.4
Mitchell Parker,WAS,P,1.8
MJ Melendez,KCR,H,0
Mookie Betts,LAD,H,5.3
Nathan Eovaldi,TEX,P,2.7
Nathan Lukes,TOR,H,1.6
Nathaniel Lowe,WAS,H,2.4
Nestor Cortes,MIL,P,1.4
Nick Castellanos,PHI,H,1
Nick Fortes,MIA,H,1.3
Nick Lodolo,CIN,P,1.4
Nick Martinez,CIN,P,2.4
Nick Martini,COL,H,0.2
Nick Maton,CHW,H,1.2
Nick Pivetta,SDP,P,2
Nico Hoerner,CHC,H,3.8
Nolan Arenado,STL,H,3.5
Nolan Jones,CLE,H,2
Nolan Schanuel,LAA,H,1.2
Oliver Dunn,MIL,H,1.2
Oneil Cruz,PIT,H,3
Orlando Arcia,ATL,H,0.9
Osvaldo Bido,ATH,P,0.8
Oswaldo Cabrera,NYY,H,1.6
Otto Lopez,MIA,H,2.8
Ozzie Albies,ATL,H,2
Pablo Lopez,MIN,P,2.9
Patrick Bailey,SFG,H,3.2
Paul DeJong,WAS,H,1.2
Paul Goldschmidt,NYY,H,2.4
Paul Skenes,PIT,P,3.8
Pavin Smith,ARI,H,1.2
Pete Alonso,NYM,H,2.9
Pete Crow-Armstrong,CHC,H,2.8
Rafael Devers,BOS,H,3.2
Ramon Urias,BAL,H,2.2
Randy Arozarena,SEA,H,3
Randy Vasquez,SDP,P,1.3
Reese Olson,DET,P,1.5
Rhys Hoskins,MIL,H,1.2
Richard Fitts,BOS,P,1
Riley Greene,DET,H,3.8
Robbie Ray,SFG,P,1
Roki Sasaki,LAD,P,2.2
Ronel Blanco,HOU,P,1.3
Rowdy Tellez,SEA,H,0.3
Ryan Bliss,SEA,H,1.8
Ryan Feltner,COL,P,1.5
Ryan Jeffers,MIN,H,2.6
Ryan McMahon,COL,H,2.6
Ryan Mountcastle,BAL,H,1.2
Ryan OHearn,BAL,H,1.5
Ryan Pepiot,TBR,P,1.7
Sal Frelick,MIL,H,2.6
Salvador Perez,KCR,H,2.8
Sandy Alcantra,MIA,P,3
Sean Burke,CHW,P,0.9
Sean Newcomb,BOS,P,-0.1
Seiya Suzuki,CHC,H,2.7
Seth Lugo,KCR,P,2
Shane Baz,TBR,P,1.7
Shane Smith,CHW,P,0.9
Shea Langeliers,ATH,H,3.2
Shohei Ohtani,LAD,H,6.7
Shota Imanaga,CHC,P,2.6
Simeon Woods Richardson,MIN,P,1.7
Sonny Gray,STL,P,2.1
Spencer Arighetti,HOU,P,1.5
Spencer Schwellenbach,ATL,P,3
Spencer Steer,CIN,H,1.5
Spencer Torkelson,DET,H,2.6
Steven Kwan,CLE,H,4.1
Taijuan Walker,PHI,P,0
Taj Bradley,TBR,P,2.1
Tanner Bibee,CLE,P,3
Tanner Houck,BOS,P,2.1
Tarik Skubal,DET,P,4.9
Taylor Walls,TBR,H,1.1
Taylor Ward,LAA,H,2
Teoscar Hernandez,LAD,H,3
TJ Friedl,CIN,H,1.5
Tommy Edman,LAD,H,3.3
Tommy Pham,PIT,H,-0.1
Tomoyuki Sugano,BAL,P,1.1
Trea Turner,PHI,H,4.2
Trevor Larnach,MIN,H,0.9
Trevor Story,BOS,H,1.3
Trevor Williams,WAS,P,1
Trey Sweeney,DET,H,2.3
Triston Casas,BOS,H,1
Ty France,MIN,H,1.3
Tyler Anderson,LAA,P,1.1
Tyler Fitzgerald,SFG,H,2.4
Tyler Glasnow,LAD,P,3.1
Tyler Mahle,TEX,P,1.2
Tyler ONeill,BAL,H,3.1
Tyler Soderstrom,ATH,H,0.9
Tylor Megill,NYM,P,1.7
Victor Robles,SEA,H,1.6
Victor Scott,STL,H,1.9
Vinnie Pasquantino,KCR,H,2.1
Vladimir Guerrero,TOR,H,3.9
Walker Buehler,BOS,P,1.9
Will Smith,LAD,H,5
Will Wagner,TOR,H,2.6
Will Warren,NYY,P,1.4
Willi Castro,MIN,H,2.2
William Contreras,MIL,H,4.3
Willson Contreras,STL,H,2.2
Willy Adames,SFG,H,3.9
Wilmer Flores,SFG,H,0.9
Wilyer Abreu,BOS,H,3.4
Wyatt Langford,TEX,H,4.1
Xander Bogaerts,SDP,H,3
Xavier Edwards,MIA,H,2.1
Yainer Diaz,HOU,H,2.9
Yandy Diaz,TBR,H,1.9
Yoan Moncada,LAA,H,1.6
Yordan Alvarez,HOU,H,4.9
Yoshinobu Yamamoto,LAD,P,3.3
Yusei Kikuchi,LAA,P,2.1
Zac Gallen,ARI,P,1.9
Zach Eflin,BAL,P,2.3
Zach McKinstry,DET,H,1.2
Zack Littell,TBR,P,2
Zack Wheeler,PHI,P,4.3